
Host: ThinkPad-P50

Timers On : Tue Dec 12 11:10:24 2017
Timers Off: Tue Dec 12 11:27:02 2017

Wall Time:      998.00 seconds

JK: (A|mn)  :      85.33u       0.03s      86.45w      5 calls
JK: (A|Q)^-1/2:       9.99u       0.02s      10.15w      5 calls
JK: (Q|mn)  :      26.30u       0.03s      26.84w      5 calls
HF: Form H  :       0.01u       0.00s 0.00971400w      1 call
HF: Form S/X:       0.04u       0.00s 0.04299400w      1 call
HF: Guess   :       0.16u       0.00s 0.16137900w      1 call
SAD Guess   :       0.15u       0.00s 0.15705600w      1 call
JK: D       :       0.02u       0.00s   0.052758w     76 calls
JK: USO2AO  :       0.02u       0.00s   0.023935w     76 calls
JK: JK      :     583.25u       2.61s     598.28w     76 calls
JK: J       :      22.76u       0.01s      23.26w     76 calls
JK: J1      :      11.36u       0.00s      11.58w    111 calls
JK: J2      :      11.26u       0.01s      11.51w    111 calls
JK: K       :     559.57u       0.38s     571.93w     76 calls
JK: K1      :     511.65u       0.33s     523.21w    144 calls
JK: K2      :      47.30u       0.05s      48.09w    109 calls
JK: AO2USO  :       0.00u       0.00s   0.001093w     76 calls
DIISManager::add_entry:       0.06u       0.07s   0.143735w     52 calls
DIISManager::extrapolate:       0.16u       0.16s   0.377990w     51 calls
DIISManager::extrapolate: bMatrix setup:       0.03u       0.10s   0.184630w     51 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.004980w     51 calls
DIISManager::extrapolate: form new data:       0.13u       0.06s   0.187478w     51 calls
HF: Form G  :     115.54u       0.92s     118.88w     16 calls
HF: Form F  :       0.00u       0.00s   0.014904w     16 calls
HF: DIIS    :       0.45u       0.15s   0.649749w     16 calls
HF: Form C  :       1.04u       0.03s   1.048283w     16 calls
HF: Form D  :       0.01u       0.00s   0.020278w     16 calls

***********************************************************

Host: ThinkPad-P50

Timers On : Tue Dec 12 11:27:03 2017
Timers Off: Tue Dec 12 11:40:22 2017

Wall Time:      799.00 seconds

JK: (A|mn)  :      86.19u       0.03s      86.89w      5 calls
JK: (A|Q)^-1/2:      10.96u       0.03s      11.04w      5 calls
JK: (Q|mn)  :      27.60u       0.00s      27.66w      5 calls
HF: Form H  :       0.00u       0.00s 0.01046600w      1 call
HF: Form S/X:       0.06u       0.00s 0.06020000w      1 call
HF: Guess   :       0.20u       0.00s 0.21394800w      1 call
SAD Guess   :       0.20u       0.00s 0.20842300w      1 call
JK: D       :       0.05u       0.00s   0.043356w     75 calls
JK: USO2AO  :       0.02u       0.00s   0.017876w     75 calls
JK: JK      :     516.20u       2.01s     520.33w     75 calls
JK: J       :      17.39u       0.00s      17.49w     75 calls
JK: J1      :       8.62u       0.00s   8.661078w    110 calls
JK: J2      :       8.66u       0.00s   8.701027w    110 calls
JK: K       :     498.11u       0.13s     500.29w     75 calls
JK: K1      :     460.65u       0.10s     462.68w    143 calls
JK: K2      :      37.00u       0.03s      37.15w    108 calls
JK: AO2USO  :       0.00u       0.00s   0.000135w     75 calls
DIISManager::add_entry:       0.08u       0.02s   0.092242w     51 calls
